,MI Scores
prev_receiving_fumbles,0.0
recent_times_pressured,0.0
prev_times_pressured,0.0
season_times_pressured_pct,0.0
recent_times_pressured_pct,0.0
prev_times_pressured_pct,0.0
season_rushing_2pt_conversions,0.0
prev_rushing_fumbles,0.0
prev_receiving_broken_tackles,0.0
prev_rushing_broken_tackles,0.0
